variant,detector,x_enhancement_var,y_structure_delta,n,pearson,spearman
FF02_detector_compatible,msfi_50k,mean_abs_bgr_delta,delta_boundary_f1_tol,168,-0.2063437873579619,-0.05896697075306678
FF02_detector_compatible,msfi_50k,mean_abs_bgr_delta,delta_boundary_precision_tol,168,-0.2647507297156971,-0.14036259916584762
FF02_detector_compatible,msfi_50k,mean_abs_bgr_delta,delta_boundary_recall_tol,168,0.2063526939623639,0.19654793271167673
FF02_detector_compatible,msfi_50k,mean_abs_bgr_delta,delta_false_edge_ratio_tol,168,0.2647507297156972,0.14036259916584762
FF02_detector_compatible,msfi_50k,mean_abs_bgr_delta,delta_endpoints_per_1k_skel_px,168,0.2701936460804375,0.23834553672543593
FF02_detector_compatible,msfi_50k,mean_abs_bgr_delta,delta_pred_edge_density,168,0.17637039270324587,0.14158573083608844
FF02_detector_compatible,msfi_50k,mean_abs_luma_delta,delta_boundary_f1_tol,168,-0.07405449766211107,-0.13764325580411935
FF02_detector_compatible,msfi_50k,mean_abs_luma_delta,delta_boundary_precision_tol,168,-0.08634472083999671,-0.1443627461859295
FF02_detector_compatible,msfi_50k,mean_abs_luma_delta,delta_boundary_recall_tol,168,0.03758736191985227,0.04751784238382936
FF02_detector_compatible,msfi_50k,mean_abs_luma_delta,delta_false_edge_ratio_tol,168,0.08634472083999672,0.1443627461859295
FF02_detector_compatible,msfi_50k,mean_abs_luma_delta,delta_endpoints_per_1k_skel_px,168,0.019701987558651487,0.11349212510272909
FF02_detector_compatible,msfi_50k,mean_abs_luma_delta,delta_pred_edge_density,168,0.011145143306743245,0.10017912405061993
FF02_detector_compatible,msfi_50k,mean_abs_chroma_delta,delta_boundary_f1_tol,168,-0.011785025667639755,-0.015438367380304192
FF02_detector_compatible,msfi_50k,mean_abs_chroma_delta,delta_boundary_precision_tol,168,-0.05737605344728234,-0.08172717367947262
FF02_detector_compatible,msfi_50k,mean_abs_chroma_delta,delta_boundary_recall_tol,168,0.20279446744383525,0.17394721895736304
FF02_detector_compatible,msfi_50k,mean_abs_chroma_delta,delta_false_edge_ratio_tol,168,0.05737605344728243,0.08172717367947262
FF02_detector_compatible,msfi_50k,mean_abs_chroma_delta,delta_endpoints_per_1k_skel_px,168,0.20107509426063336,0.2116699888100412
FF02_detector_compatible,msfi_50k,mean_abs_chroma_delta,delta_pred_edge_density,168,0.12117475440428178,0.0974634127885946
FF02_detector_compatible,msfi_50k,psnr_vs_raw,delta_boundary_f1_tol,168,0.139475079835692,0.047550171531336914
FF02_detector_compatible,msfi_50k,psnr_vs_raw,delta_boundary_precision_tol,168,0.19873070382756697,0.12662751395717373
FF02_detector_compatible,msfi_50k,psnr_vs_raw,delta_boundary_recall_tol,168,-0.1842348825940277,-0.19374247657753202
FF02_detector_compatible,msfi_50k,psnr_vs_raw,delta_false_edge_ratio_tol,168,-0.19873070382756697,-0.12662751395717373
FF02_detector_compatible,msfi_50k,psnr_vs_raw,delta_endpoints_per_1k_skel_px,168,-0.26135485026365934,-0.23599990185527378
FF02_detector_compatible,msfi_50k,psnr_vs_raw,delta_pred_edge_density,168,-0.21889957657758147,-0.12641429449021974
FF02_detector_compatible,msfi_50k,grad_mean_ratio,delta_boundary_f1_tol,168,0.1649845754024267,0.22815376108191185
