stem,selection_reasons,legacy_stage1_final_mean_abs_bgr_delta,legacy_stage1_final_mean_abs_chroma_delta,legacy_stage1_final_grad_mean_ratio,legacy_stage1_final_luma_std_ratio,P27_raw_detail_lowfreq_chroma_mean_abs_bgr_delta,P27_raw_detail_lowfreq_chroma_mean_abs_chroma_delta,P27_raw_detail_lowfreq_chroma_grad_mean_ratio,P27_raw_detail_lowfreq_chroma_luma_std_ratio,D01_structure_flow_mean_abs_bgr_delta,D01_structure_flow_mean_abs_chroma_delta,D01_structure_flow_grad_mean_ratio,D01_structure_flow_luma_std_ratio,FF01_full_flow_v8_mean_abs_bgr_delta,FF01_full_flow_v8_mean_abs_chroma_delta,FF01_full_flow_v8_grad_mean_ratio,FF01_full_flow_v8_luma_std_ratio,FF02_detector_compatible_mean_abs_bgr_delta,FF02_detector_compatible_mean_abs_chroma_delta,FF02_detector_compatible_grad_mean_ratio,FF02_detector_compatible_luma_std_ratio
lianzhuangluojia.10,D01_structure_flow:top5_grad;P27_raw_detail_lowfreq_chroma:top5_grad,85.396484375,5.233964920043945,13.736019034296472,4.593587096478374,1.580065131187439,0.6611865162849426,2.6299260400684794,1.00127426876284,1.481848955154419,0.6605663895606995,3.1399933109204614,0.9766305680096123,2.395475149154663,2.2114551067352295,1.1819392469399366,1.0616264255264702,3.166943311691284,3.121020555496216,1.0060497010008884,0.9905421441814337
lianzhuangluojia.13,D01_structure_flow:msfi_50k:false_edge_increase:top5;P27_raw_detail_lowfreq_chroma:msfi_50k:f1_loss:top5;P27_raw_detail_lowfreq_chroma:msfi_50k:false_edge_increase:top5,31.127317428588867,9.336845397949219,3.826931284158999,2.131034601703942,2.3044824600219727,0.9565283060073853,0.9309213014932051,0.9902476424621265,2.367835283279419,0.9578759670257568,0.9960252580258028,0.9833631131617468,3.4463703632354736,3.277846574783325,1.0118214290420393,1.0266194724656525,3.967470645904541,3.794497013092041,0.8349215185254355,0.9757698963062794
lianzhuangluojia.9,legacy_stage1_final:top3_bgr,93.41728210449219,3.870732307434082,9.453025489167572,3.8475584976888344,1.67424476146698,0.7398926019668579,1.6807833142113957,1.0052061746943544,1.7788997888565063,0.7386425733566284,2.0541943111024406,0.9777944309736215,2.485478401184082,2.1506006717681885,1.0922041029800056,1.0234571234953869,2.908766269683838,2.607480525970459,1.179340665665267,1.0061741195802842
limayuanjia.16,P27_raw_detail_lowfreq_chroma:msfi_50k:f1_loss:top5,22.76756477355957,12.091054916381836,3.7252014321638502,1.597700652765263,1.7417349815368652,0.5462207198143005,1.100469919285126,1.0035546287128314,2.0919172763824463,0.8076757788658142,1.1236173552809827,0.976837949567023,13.180901527404785,6.374477386474609,1.0395770523300414,1.013715657622201,15.929924964904785,8.0219144821167,0.9008280801078594,0.9962733762205717
limayuanjia.18,D01_structure_flow:diffusionedge_baseline_50k:f1_loss:top5;D01_structure_flow:diffusionedge_baseline_50k:false_edge_increase:top5;P27_raw_detail_lowfreq_chroma:diffusionedge_baseline_50k:f1_loss:top5;P27_raw_detail_lowfreq_chroma:diffusionedge_baseline_50k:false_edge_increase:top5,32.95016860961914,7.231943130493164,3.6742039946167164,1.620285671915881,1.6865234375,0.6824169754981995,1.1073744360995073,1.0010685168098221,1.9619433879852295,0.6795263886451721,1.1164437311400872,0.9699639163528625,8.384153366088867,4.347978591918945,1.016557576088109,1.0058106707842982,10.203740119934082,5.382026195526123,0.9197993985030888,0.9957180375035707
lingxinghaixian.5,D01_structure_flow:msfi_50k:false_edge_increase:top5,14.950247764587402,13.927637100219727,8.569637412562132,6.503006156557043,1.5671452283859253,0.7709423899650574,1.7055709327426898,1.0760056141371859,2.355654239654541,1.6284228563308716,1.716607811543983,1.0922592288045587,11.61344051361084,9.618661880493164,1.0766846279527182,1.0953914674184053,13.310439109802246,11.3379545211792,1.0369294357173588,1.0350283496300747
luojiazao.4,FF01_full_flow_v8:msfi_50k:endpoint_increase:top5,64.91957092285156,2.5549511909484863,5.1254983245045755,1.758024654875664,2.0502116680145264,0.9471337795257568,1.3967252986823975,1.0010762656498995,2.4049837589263916,0.9462646245956421,1.393192349011699,0.9777015504495961,2.069713592529297,1.191586971282959,1.0122420743752159,0.9912030520518386,2.274869680404663,1.6186327934265137,0.8802108689992293,0.995216433031764
luoshijiaomao.3,FF02_detector_compatible:diffusionedge_baseline_50k:f1_loss:top5,19.84119415283203,9.4896821975708,6.31388785045997,3.6380288622680457,1.82365882396698,0.7779931426048279,1.0518301078680803,0.9509973217728154,1.883056640625,0.7776952981948853,1.1325853302965707,0.9394499775057479,4.52078104019165,4.580483436584473,1.0378076761232247,1.0589259280577539,5.408502578735352,5.452856540679932,0.8933959550124848,1.011547070695681
nilingxing.4,P27_raw_detail_lowfreq_chroma:msfi_50k:endpoint_increase:top5,74.61038208007812,3.353022575378418,3.7975364401452816,1.8927092356198183,1.699462890625,0.638623058795929,0.9284614386934364,0.9719411102383044,1.7327897548675537,0.6384814381599426,0.9906215214139289,0.9571707442423931,3.4626758098602295,1.7484033107757568,1.0169339104991848,1.0145942737438516,3.966155529022217,2.038501024246216,0.8758701276125774,1.0019897310204504
paige.4,P27_raw_detail_lowfreq_chroma:diffusionedge_baseline_50k:endpoint_increase:top5,11.54973316192627,1.2554785013198853,4.88953353214406,2.562731444766598,2.378798723220825,1.2612695693969727,1.267064007092901,0.9990231373917688,2.4233365058898926,1.255312442779541,1.2418982602844415,0.9847050237612194,1.1424120664596558,0.17646484076976776,1.0436981564367738,1.0285726438674638,1.5925390720367432,0.9168359637260437,0.88931507981501,1.0057469588787284
